Name,Size,Time
ReadOnly,131072,85641
EvenReadsWrites,131072,187598
10pctReads,131072,179232
10pctWrites,131072,190332
WriteOnly,262144,257736
ReadOnly,262144,168053
EvenReadsWrites,262144,364157
10pctReads,262144,369475
10pctWrites,262144,358573
WriteOnly,524288,556057
ReadOnly,524288,357035
EvenReadsWrites,524288,709803
10pctReads,524288,726469
10pctWrites,524288,711871
WriteOnly,1024,748
ReadOnly,1024,419
EvenReadsWrites,1024,1239
10pctReads,1024,1326
10pctWrites,1024,1644
WriteOnly,2048,1493
ReadOnly,2048,819
EvenReadsWrites,2048,2093
10pctReads,2048,3544
10pctWrites,2048,2298
WriteOnly,4096,2951
ReadOnly,4096,1849
EvenReadsWrites,4096,5890
10pctReads,4096,7655
10pctWrites,4096,5546
WriteOnly,8192,9357
ReadOnly,8192,3841
EvenReadsWrites,8192,17118
10pctReads,8192,13416
10pctWrites,8192,12948
WriteOnly,16384,17682
ReadOnly,16384,9820
EvenReadsWrites,16384,32121
10pctReads,16384,27503
10pctWrites,16384,31890
WriteOnly,32768,31150
ReadOnly,32768,20219
EvenReadsWrites,32768,62909
10pctReads,32768,57479
10pctWrites,32768,58469
WriteOnly,65536,66372
ReadOnly,65536,38659
EvenReadsWrites,65536,113845
10pctReads,65536,92648
10pctWrites,65536,97651
WriteOnly,131072,144553
ReadOnly,131072,84088
EvenReadsWrites,131072,193827
10pctReads,131072,191274
10pctWrites,131072,193171
WriteOnly,262144,259034
ReadOnly,262144,163799
EvenReadsWrites,262144,349699
10pctReads,262144,358814
10pctWrites,262144,367767
WriteOnly,524288,544821
ReadOnly,524288,347300
EvenReadsWrites,524288,723648
10pctReads,524288,701251
10pctWrites,524288,694909
WriteOnly,1024,794
ReadOnly,1024,402
EvenReadsWrites,1024,951
10pctReads,1024,1398
10pctWrites,1024,1035
WriteOnly,2048,2299
ReadOnly,2048,913
EvenReadsWrites,2048,3512
10pctReads,2048,2638
10pctWrites,2048,3352
WriteOnly,4096,3683
ReadOnly,4096,2418
EvenReadsWrites,4096,6110
10pctReads,4096,4738
10pctWrites,4096,5304
WriteOnly,8192,6922
ReadOnly,8192,3858
EvenReadsWrites,8192,13710
10pctReads,8192,14127
10pctWrites,8192,15261
WriteOnly,16384,15534
ReadOnly,16384,10997
EvenReadsWrites,16384,26356
10pctReads,16384,29762
10pctWrites,16384,35157
WriteOnly,32768,31552
ReadOnly,32768,21104
EvenReadsWrites,32768,62157
10pctReads,32768,59016
10pctWrites,32768,55691
WriteOnly,65536,63794
ReadOnly,65536,38895
EvenReadsWrites,65536,107653
10pctReads,65536,99369
10pctWrites,65536,92368
WriteOnly,131072,137973
ReadOnly,131072,82977
EvenReadsWrites,131072,189595
10pctReads,131072,186123
10pctWrites,131072,175024
WriteOnly,262144,261786
ReadOnly,262144,166994
EvenReadsWrites,262144,367586
10pctReads,262144,364739
10pctWrites,262144,361298
WriteOnly,524288,539489
